,full time,1st half,2nd half
Subs_all,0.2788¡À0.1446,0.0156¡À0.0539,0.4072¡À0.2142
Injury_all,0.1424¡À0.1511,0.2574¡À0.3314,0.0935¡À0.1352
Penalties_all,0.0161¡À0.0403,0.0152¡À0.0647,0.014¡À0.0454
Goal Celebr._all,0.2454¡À0.146,0.401¡À0.3462,0.185¡À0.1539
Disciplinary Sanc._all,0.0078¡À0.0371,0.0069¡À0.0494,0.0069¡À0.0366
VAR_all,0.0656¡À0.106,0.0881¡À0.209,0.0492¡À0.1116
Other_all,0.0135¡À0.0463,0.0259¡À0.1149,0.0067¡À0.0372
Multiple Causes_all,0.2305¡À0.1833,0.19¡À0.2877,0.2375¡À0.2121
